Date,score,VIX,2w_score,3w_score,4w_score,3D_vix,5D_vix,8D_vix,10D_vix,15D_vix,20D_vix,3_c_5,3_c_10,5_c_10,10_c_15,10_c_20,10_c_25,10_c_30,20_c_30,20_c_40,20_c_50,20_c_60,30_c_50,30_c_60,30_c_70,40_c_60,40_c_70,40_c_80,50_c_70,50_c_80,60_c_80,60_c_90,volume_score,3D_volume,5D_volume,8D_volume,10D_volume,15D_volume,20D_volume,close
2008-06-25,-0.07012646939999989,-0.6736914024828988,-0.0051962833400009956,0.01470822780410641,0.0099933235829468,-0.627783693804341,-0.6090248722108428,-0.5988365095157709,-0.5874365994330721,-0.5595648263196088,-0.577674609150238,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.033198754126323005,-0.22572411698462813,-0.13970555397953688,-0.12780647916515908,-0.08186179210761813,0.03858214688264883,-0.042912500810983856,131.809998
2008-06-26,-0.07012646939999989,-0.5978246200455578,-0.018847547460000613,0.006692435350313275,0.007404064633912855,-0.6153475520773017,-0.594616975633888,-0.5867133291831202,-0.5854275251342463,-0.5470161386191539,-0.5671943053731648,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006395189549954106,-0.04895144315126021,-0.14502271015570756,-0.06256966056908586,-0.05934600738058893,0.060542655924052724,-0.008703985131710112,128.229996
2008-06-27,-0.07012646939999989,-0.6111488616954764,-0.032498811580000786,-0.0013233571034798608,0.004814805684878465,-0.6055143217172306,-0.591122294336499,-0.5773158190447666,-0.5779939435316772,-0.5473002550611469,-0.5570398140924753,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.028937289867568605,-0.0008236822135658795,-0.13332337883895184,0.0025349856129570636,-0.02996619984733062,0.03090431371086022,0.04268880762849747,127.529999
2008-06-30,-0.07012646939999989,-0.5972807451453233,-0.04615007570000085,-0.009339149557273108,0.002225546735844075,-0.5784247433949938,-0.5830906461102848,-0.5703592225855016,-0.5679485720375489,-0.5453350835845042,-0.5495823262540716,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.1489794415677942,-0.03947652504113541,-0.055800682323841944,-0.0015737815293681567,0.006578103236906552,0.042113583570500435,0.06417072840036009,127.980003
2008-07-01,0.014587818800000152,-0.6054384879554459,-0.04247392562000074,-0.012794773604616339,0.00044681400469603894,-0.581124058886665,-0.5755494917317084,-0.5619380844278759,-0.5595104566340241,-0.5442222756398992,-0.5434099895170278,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.36895488566820234,0.08156233955149661,0.044525112993603067,0.047622038102197894,0.10514112206334958,0.08917659312933401,0.09639284996922148,128.380005
2008-07-02,0.014587818800000152,-0.5437117731145679,-0.038797775540000856,-0.016250397651959347,-0.0013319187264519972,-0.557215845600849,-0.5462432108611807,-0.549530131307286,-0.5471881342678937,-0.5399604603473867,-0.534142432254271,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.032357875198321784,0.06109923440212106,0.04469934973232648,0.046916244404525465,0.11623884238235327,0.0907068444817154,0.10783554623184144,126.18
2008-07-03,0.014587818800000152,-0.5747110652695837,-0.03512162546000064,-0.019706021699302356,-0.0031106514576004773,-0.5492143032505388,-0.5410318378831771,-0.5408242122253556,-0.5364730679923666,-0.5365273270867804,-0.5230105016743614,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-0.22676213921674537,0.035131843351267955,-0.0036126857118194966,0.09019053009005029,0.08377777519657736,0.08578038454637893,0.10824583474072091,126.309998
2008-07-07,0.014587818800000152,-0.5475186798771265,-0.03144547538000064,-0.023161645746645476,-0.0048893841887487355,-0.5286802150484866,-0.5266852515044221,-0.5271551143360992,-0.5267290576430621,-0.525730717612282,-0.518992143932159,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.3043237419790745,0.01355503728812546,0.053449556790372776,0.1514552995699514,0.1253982807477172,0.13259166968224378,0.1049729731938569,125.019997
2008-07-08,-0.14365605059999986,-0.6190346806516744,-0.04359371224000075,-0.03717419465303318,-0.014610580416370311,-0.5553841575910885,-0.5315900734914264,-0.5189780630713812,-0.5250213411406034,-0.5205218317286164,-0.5189378436594977,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.3184770074288281,0.1306796275482347,0.1503102158654177,0.2028089445870116,0.23095030662887162,0.20229195197795735,0.14577251108861478,127.239998
2008-07-09,-0.14365605059999986,-0.5624745190353634,-0.05094667036000078,-0.04527864913756785,-0.02515286992468113,-0.5510459816198867,-0.521903062175857,-0.5136894255810848,-0.51561217650777,-0.5108143558016205,-0.5152272013395741,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.16185762008116256,0.2604185227627194,0.10739803082559751,0.22551043085289724,0.26570203426621086,0.25545272633409,0.1669013749249384,124.790001
