,return,port_return
Annual return,10.65%,11.67%
Cumulative returns,132.43%,151.03%
Annualized_1year_return,11.0%,20.29%
Annualized_5year_return,7.67%,8.72%
Annualized_10year_return,nan%,nan%
Annual volatility,16.37%,15.48%
Annuallized_1year_volatility,31.76%,30.71%
Annuallized_5year_volatility,18.79%,17.85%
Annuallized_10year_volatility,nan%,nan%
Sharpe ratio,0.7,0.791
1 year sharpe ratio,0.488,0.756
5 year sharpe ratio,0.488,0.558
10 year sharpe ratio,nan,nan
Calmar ratio,0.312,0.406
Stability,0.941,0.946
Max drawdown,-34.1%,-28.74%
Omega ratio,1.152,1.192
Sortino ratio,0.973,1.116
Skew,-0.638,nan
Kurtosis,19.558,nan
Tail ratio,0.933,0.973
Daily value at risk,-2.02%,-1.9%
Alpha,0.0,0.021
Beta,1.0,0.894
